id_p;Profesion;nom_p;dir_p;tel_p
11001;Profesion 1;Profesor 1;Direccion 1;911001
11002;Profesion 2;Profesor 2;Direccion 2;911002
11003;Profesion 3;Profesor 3;Direccion 3;911003
11004;Profesion 1;Profesor 4;Direccion 4;911004
11005;Profesion 2;Profesor 5;Direccion 5;911005
11006;Profesion 3;Profesor 6;Direccion 6;911006
11007;Profesion 4;Profesor 7;Direccion 7;911007
11008;Profesion 2;Profesor 8;Direccion 8;911008
11009;Profesion 4;Profesor 9;Direccion 9;911009
11010;Profesion 3;Profesor 10;Direccion 10;911010
